ARGUMENT	Nc	ARGUMENT
DU	Vvc	DU
PREMIER	Nc	PREMIER
ACTE	Vvc	ACTER
.	Fs	.
Minerve	Nc	MINERVE
Dame	Nc	DAME
Macédonienne	Vvc	Macédonienne
ayant	Ga	AVOIR
été	Ge	ÊTRE
enlevée	Ge	ENLEVER
par	S	PAR
Atalle	Nc	Atalle
ami	Nc	AMI
de	S	DE
Philippe	Nc	Philippe
,	Fw	,
vient	Vvc	VENIR
pour	S	POUR
lui	Pp	IL
demander	Vvn	DEMANDER
justice	Nc	JUSTICE
de	S	DE
cette	Dd	CE
violence	Nc	VIOLENCE
.	Fs	.
1.	Dt	@ord@
Elle	Nc	Elle
est	Vuc	ÊTRE
dans	S	DANS
les	Da	LE
jardins	Nc	JARDIN
du	S+Da	DE+LE
Prince	Nc	PRINCE
où	Pr	OÙ
faisant	Ga	FAIRE
réflexion	Nc	RÉFLEXION
sur	S	SUR
sa	Ds	SON
disgrâce	Nc	DISGRÂCE
,	Fw	,
elle	Pp	IL
implore	Vvc	IMPLORER
la	Da	LE
clémence	Nc	CLÉMENCE
des	S+Da	DE+LE|DE+LES
Dieux	Nc	DIEU|DIEUX
,	Fw	,
et	Cc	ET
les	Da	LE
conjure	Nc	CONJURÉ
de	S	DE
porter	Vvn	PORTER
l'	Da	LE
esprit	Nc	ESPRIT
de	S	DE
son	Ds	SON
Souverain	Nc	SOUVERAIN
à	S	À
lui	Pp	IL
faire	Vvn	FAIRE
raison	Nc	RAISON
de	S	DE
cette	Dd	CE
offense	Nc	OFFENSE|OFFENSÉ
.	Fs	.
2.	Pt	@ord@
Sa	Vvc	Sa
confidente	Nc	CONFIDENT
la	Da	LE
trouvant	Ga	TROUVER
dans	S	DANS
un	Dn	UN
état	Nc	ÉTAT
qui	Pr	QUI
l'	Pp	IL
informait	Vvc	INFORMER
assez	Rg	ASSEZ
du	S+Da	DE+LE
trouble	Nc	TROUBLE
de	S	DE
son	Ds	SON
âme	Nc	ÂME
,	Fw	,
tâche	Vvc	TÂCHER
de	S	DE
la	Pp	IL
consoler	Vvn	CONSOLER
jusqu'	S	JUSQUE
à	S	À
ce	Pd	CE
que	Pr	QUE
Philippe	Vvc	Philippe
venant	Ga	VENIR
avec	S	AVEC
Atalle	Nc	Atalle
dans	S	DANS
ces	Dd	CE
jardins	Nc	JARDIN
l'	Pp	IL
oblige	Vvc	OBLIGER
à	S	À
s'	Pp	SE
y	Pp	Y
cacher	Vvn	CACHER
.	Fs	.
3.	Pt	@ord@
Philippe	Vvc	Philippe
en	S	EN
assurant	Ga	ASSURER
Atalle	Vvc	Atalle
de	S	DE
son	Ds	SON
amitié	Nc	AMITIÉ
lui	Pp	IL
représente	Vvc	REPRÉSENTER
l'	Da	LE
excès	Nc	EXCÈS
de	S	DE
son	Ds	SON
crime	Nc	CRIME
,	Fw	,
et	Cc	ET
lui	Pp	IL
témoigne	Vvc	TÉMOIGNER
que	Cs	QUE
c'	Pd	CE
est	Vuc	ÊTRE
avec	S	AVEC
une	Dn	UN
répugnance	Nc	RÉPUGNANCE
forcée	Ge	FORCER
qu'	Cs	QUE
il	Pp	IL
laisse	Vvc	LAISSER
cette	Dd	CE
offense	Nc	OFFENSE|OFFENSÉ
impunie	Ag	IMPUNI
,	Fw	,
et	Cc	ET
fait	Vvc	FAIRE
pencher	Vvn	PENCHER
la	Da	LE
balance	Nc	BALANCE
du	S+Da	DE+LE
côté	Nc	CÔTÉ
de	S	DE
l'	Da	LE
amitié	Nc	AMITIÉ
.	Fs	.
4.	Dt	@ord@
Alexandre	Nc	Alexandre
s'	Pp	SE
étonnant	Ga	ÉTONNER
de	S	DE
l'	Da	LE
absence	Nc	ABSENCE
de	S	DE
son	Ds	SON
père	Nc	PÈRE
en	S	EN
un	Dn	UN
temps	Nc	TEMPS
où	Pr	OÙ
les	Da	LE
Ambassadeurs	Nc	AMBASSADEUR
des	S+Da	DE+LE|DE+LES
Grecs	Nc	GREC
l'	Pp	IL
attendaient	Vvc	ATTENDRE
avec	S	AVEC
impatience	Nc	IMPATIENCE
pour	S	POUR
célébrer	Vvn	CÉLÉBRER
les	Da	LE
noces	Nc	NOCE
de	S	DE
Cléopâtre	Nc	Cléopâtre
,	Fw	,
vient	Vvc	VENIR
de	S	DE
le	Pp	IL
prier	Vvn	PRIER
de	S	DE
se	Pp	IL
rendre	Vvn	RENDRE
auprès	Rg	AUPRÈS
d'	S	DE
elle	Pp	IL
,	Fw	,
mais	Cc	MAIS
Philippe	Vvc	Philippe
se	Pp	IL
